id,age,race,sex,label,pred
14275,29, White, Male,less than or equal to 50K,less than or equal to 50K
45617,51, White, Female,less than or equal to 50K,less than or equal to 50K
30423,23, White, Female,less than or equal to 50K,less than or equal to 50K
40200,30, White, Male,less than or equal to 50K,less than or equal to 50K
34691,41, White, Male,less than or equal to 50K,less than or equal to 50K
31551,33, White, Male,less than or equal to 50K,less than or equal to 50K
17434,51, White, Male,less than or equal to 50K,less than or equal to 50K
14285,54, White, Male,greater than 50K,greater than 50K
4812,69, White, Female,greater than 50K,less than or equal to 50K
9163,41, White, Female,less than or equal to 50K,less than or equal to 50K
33752,24, White, Female,less than or equal to 50K,less than or equal to 50K
48584,59, White, Male,less than or equal to 50K,less than or equal to 50K
31029,31, White, Male,less than or equal to 50K,less than or equal to 50K
25533,33, White, Male,less than or equal to 50K,less than or equal to 50K
30405,32, White, Female,greater than 50K,less than or equal to 50K
25080,35, White, Male,less than or equal to 50K,less than or equal to 50K
3022,51, White, Male,greater than 50K,less than or equal to 50K
6309,32, White, Female,less than or equal to 50K,less than or equal to 50K
25352,64, White, Male,less than or equal to 50K,less than or equal to 50K
7824,51, White, Male,greater than 50K,greater than 50K
25700,27, White, Female,less than or equal to 50K,less than or equal to 50K
14311,33, White, Male,less than or equal to 50K,less than or equal to 50K
16908,58, White, Male,greater than 50K,greater than 50K
27444,28, White, Male,less than or equal to 50K,less than or equal to 50K
1434,35, Black, Male,less than or equal to 50K,less than or equal to 50K
31664,61, White, Female,less than or equal to 50K,less than or equal to 50K
47646,71, White, Male,less than or equal to 50K,greater than 50K
26553,20, White, Male,less than or equal to 50K,less than or equal to 50K
33062,39, White, Male,less than or equal to 50K,greater than 50K
37242,59, White, Female,less than or equal to 50K,less than or equal to 50K
41826,66, White, Male,less than or equal to 50K,less than or equal to 50K
21084,59, Black, Male,less than or equal to 50K,less than or equal to 50K
18119,64, White, Male,less than or equal to 50K,less than or equal to 50K
30864,44, Amer-Indian-Eskimo, Male,greater than 50K,less than or equal to 50K
15116,60, White, Female,less than or equal to 50K,less than or equal to 50K
48838,64, Black, Male,less than or equal to 50K,less than or equal to 50K
42049,37, White, Male,greater than 50K,less than or equal to 50K
48828,38, Black, Female,less than or equal to 50K,less than or equal to 50K
3362,29, Black, Female,less than or equal to 50K,less than or equal to 50K
20279,21, White, Male,less than or equal to 50K,less than or equal to 50K
26304,57, White, Female,less than or equal to 50K,less than or equal to 50K
10837,49, White, Female,less than or equal to 50K,less than or equal to 50K
43662,33, Black, Male,less than or equal to 50K,less than or equal to 50K
33101,55, White, Male,less than or equal to 50K,less than or equal to 50K
42764,30, Black, Male,less than or equal to 50K,less than or equal to 50K
13857,47, White, Male,less than or equal to 50K,less than or equal to 50K
14591,43, Other, Female,less than or equal to 50K,less than or equal to 50K
36695,50, White, Male,greater than 50K,greater than 50K
38578,20, White, Female,less than or equal to 50K,less than or equal to 50K
47180,39, White, Female,less than or equal to 50K,less than or equal to 50K
21557,48, White, Male,greater than 50K,greater than 50K
9227,41, White, Female,greater than 50K,greater than 50K
14527,46, White, Male,less than or equal to 50K,less than or equal to 50K
25959,56, White, Male,less than or equal to 50K,less than or equal to 50K
9938,36, White, Female,less than or equal to 50K,less than or equal to 50K
11806,35, Black, Male,less than or equal to 50K,less than or equal to 50K
33788,43, White, Male,greater than 50K,greater than 50K
12425,55, White, Male,less than or equal to 50K,less than or equal to 50K
2909,55, White, Male,greater than 50K,greater than 50K
764,51, White, Male,greater than 50K,less than or equal to 50K
16481,26, White, Female,less than or equal to 50K,less than or equal to 50K
10511,33, White, Male,less than or equal to 50K,less than or equal to 50K
8457,23, White, Male,less than or equal to 50K,less than or equal to 50K
26729,51, White, Male,greater than 50K,greater than 50K
4674,62, White, Male,less than or equal to 50K,less than or equal to 50K
1572,24, White, Male,less than or equal to 50K,less than or equal to 50K
43298,40, White, Female,greater than 50K,less than or equal to 50K
46880,34, White, Male,greater than 50K,less than or equal to 50K
16506,21, White, Female,less than or equal to 50K,less than or equal to 50K
10218,52, Asian-Pac-Islander, Male,greater than 50K,less than or equal to 50K
40969,29, White, Male,less than or equal to 50K,less than or equal to 50K
2500,27, White, Female,less than or equal to 50K,less than or equal to 50K
28472,51, White, Male,less than or equal to 50K,less than or equal to 50K
14087,31, White, Male,less than or equal to 50K,less than or equal to 50K
46799,19, White, Male,less than or equal to 50K,less than or equal to 50K
44388,42, White, Male,greater than 50K,greater than 50K
18947,50, White, Male,greater than 50K,less than or equal to 50K
1099,43, White, Female,less than or equal to 50K,less than or equal to 50K
3880,54, White, Male,greater than 50K,less than or equal to 50K
22051,21, White, Female,less than or equal to 50K,less than or equal to 50K
38193,25, White, Female,less than or equal to 50K,less than or equal to 50K
42986,29, White, Female,less than or equal to 50K,less than or equal to 50K
42821,35, White, Female,less than or equal to 50K,less than or equal to 50K
38535,21, Black, Male,less than or equal to 50K,less than or equal to 50K
38098,50, White, Male,less than or equal to 50K,less than or equal to 50K
21430,52, White, Male,greater than 50K,greater than 50K
33958,48, Amer-Indian-Eskimo, Female,less than or equal to 50K,less than or equal to 50K
33126,35, White, Male,less than or equal to 50K,less than or equal to 50K
48434,36, White, Male,greater than 50K,less than or equal to 50K
15432,36, White, Male,less than or equal to 50K,less than or equal to 50K
18575,53, White, Male,greater than 50K,greater than 50K
42098,26, White, Male,less than or equal to 50K,less than or equal to 50K
36399,32, White, Male,less than or equal to 50K,less than or equal to 50K
29652,56, White, Female,less than or equal to 50K,less than or equal to 50K
11988,50, White, Female,less than or equal to 50K,less than or equal to 50K
26226,35, White, Female,less than or equal to 50K,less than or equal to 50K
29786,41, Asian-Pac-Islander, Male,greater than 50K,less than or equal to 50K
22400,26, Black, Female,less than or equal to 50K,less than or equal to 50K
15781,37, White, Male,less than or equal to 50K,less than or equal to 50K
19617,59, White, Male,greater than 50K,greater than 50K
32484,48, White, Female,less than or equal to 50K,less than or equal to 50K
47050,31, White, Female,less than or equal to 50K,less than or equal to 50K
46944,43, White, Male,greater than 50K,less than or equal to 50K
14942,51, White, Male,greater than 50K,less than or equal to 50K
8165,42, White, Female,less than or equal to 50K,less than or equal to 50K
32518,57, White, Male,greater than 50K,greater than 50K
5543,44, White, Male,greater than 50K,greater than 50K
46753,36, White, Male,less than or equal to 50K,less than or equal to 50K
21042,27, White, Female,less than or equal to 50K,less than or equal to 50K
5155,54, White, Female,greater than 50K,greater than 50K
16825,38, White, Female,less than or equal to 50K,less than or equal to 50K
32959,36, Asian-Pac-Islander, Male,less than or equal to 50K,greater than 50K
11003,28, White, Female,greater than 50K,less than or equal to 50K
41045,32, White, Female,less than or equal to 50K,less than or equal to 50K
15237,22, White, Female,less than or equal to 50K,less than or equal to 50K
7550,39, White, Female,greater than 50K,less than or equal to 50K
43166,38, White, Male,less than or equal to 50K,less than or equal to 50K
21813,18, White, Male,less than or equal to 50K,less than or equal to 50K
18765,22, White, Male,less than or equal to 50K,less than or equal to 50K
7812,62, White, Female,less than or equal to 50K,less than or equal to 50K
17023,24, White, Male,less than or equal to 50K,less than or equal to 50K
14003,42, White, Male,greater than 50K,less than or equal to 50K
1867,36, White, Female,less than or equal to 50K,less than or equal to 50K
30419,23, White, Female,less than or equal to 50K,less than or equal to 50K
15444,20, White, Female,less than or equal to 50K,less than or equal to 50K
36424,62, White, Female,less than or equal to 50K,less than or equal to 50K
45431,35, Asian-Pac-Islander, Female,less than or equal to 50K,less than or equal to 50K
23214,49, White, Male,less than or equal to 50K,greater than 50K
22381,48, White, Female,less than or equal to 50K,less than or equal to 50K
11406,39, White, Male,less than or equal to 50K,less than or equal to 50K
44482,21, White, Male,less than or equal to 50K,less than or equal to 50K
7510,62, White, Male,less than or equal to 50K,less than or equal to 50K
36280,63, White, Female,less than or equal to 50K,less than or equal to 50K
31433,25, White, Male,less than or equal to 50K,less than or equal to 50K
35666,36, White, Male,less than or equal to 50K,less than or equal to 50K
38192,45, Other, Male,less than or equal to 50K,less than or equal to 50K
33631,53, Other, Female,less than or equal to 50K,greater than 50K
36950,44, White, Female,less than or equal to 50K,less than or equal to 50K
43062,53, White, Male,less than or equal to 50K,less than or equal to 50K
39552,19, White, Female,less than or equal to 50K,less than or equal to 50K
23546,43, White, Male,less than or equal to 50K,greater than 50K
46838,27, White, Female,less than or equal to 50K,less than or equal to 50K
14769,22, White, Male,less than or equal to 50K,less than or equal to 50K
18766,18, White, Male,less than or equal to 50K,less than or equal to 50K
29869,19, White, Female,less than or equal to 50K,less than or equal to 50K
48660,43, Black, Male,greater than 50K,greater than 50K
40071,33, White, Female,greater than 50K,less than or equal to 50K
41851,32, White, Male,less than or equal to 50K,less than or equal to 50K
29558,64, White, Male,greater than 50K,greater than 50K
29205,23, White, Female,less than or equal to 50K,less than or equal to 50K
43141,27, White, Female,less than or equal to 50K,less than or equal to 50K
34733,39, White, Male,greater than 50K,less than or equal to 50K
14229,40, White, Male,greater than 50K,greater than 50K
7899,46, White, Male,less than or equal to 50K,less than or equal to 50K
31509,22, White, Male,less than or equal to 50K,less than or equal to 50K
11310,34, White, Female,less than or equal to 50K,less than or equal to 50K
12765,38, White, Male,less than or equal to 50K,greater than 50K
46962,17, White, Female,less than or equal to 50K,less than or equal to 50K
41702,23, Black, Female,less than or equal to 50K,less than or equal to 50K
21384,26, White, Male,less than or equal to 50K,less than or equal to 50K
47887,54, White, Male,less than or equal to 50K,greater than 50K
6690,60, White, Male,less than or equal to 50K,less than or equal to 50K
10741,26, White, Male,less than or equal to 50K,less than or equal to 50K
31545,33, White, Female,less than or equal to 50K,less than or equal to 50K
45215,18, White, Male,less than or equal to 50K,less than or equal to 50K
1212,31, White, Female,less than or equal to 50K,less than or equal to 50K
25695,26, White, Female,less than or equal to 50K,less than or equal to 50K
20499,37, Asian-Pac-Islander, Male,less than or equal to 50K,less than or equal to 50K
43510,43, White, Male,less than or equal to 50K,less than or equal to 50K
38594,29, Asian-Pac-Islander, Male,less than or equal to 50K,less than or equal to 50K
5374,55, Black, Male,greater than 50K,less than or equal to 50K
21645,47, White, Female,less than or equal to 50K,less than or equal to 50K
27098,29, White, Male,less than or equal to 50K,less than or equal to 50K
37943,25, White, Female,less than or equal to 50K,less than or equal to 50K
37479,31, White, Female,greater than 50K,less than or equal to 50K
1631,67, White, Female,less than or equal to 50K,less than or equal to 50K
21954,32, White, Male,less than or equal to 50K,less than or equal to 50K
26674,42, White, Male,less than or equal to 50K,greater than 50K
31769,20, White, Female,less than or equal to 50K,less than or equal to 50K
34718,25, White, Male,less than or equal to 50K,less than or equal to 50K
18368,27, White, Male,less than or equal to 50K,less than or equal to 50K
21599,53, White, Male,greater than 50K,greater than 50K
10154,28, Black, Female,less than or equal to 50K,less than or equal to 50K
46176,34, White, Male,greater than 50K,less than or equal to 50K
34337,46, White, Male,less than or equal to 50K,less than or equal to 50K
21568,59, White, Female,less than or equal to 50K,less than or equal to 50K
5601,34, White, Male,greater than 50K,greater than 50K
30383,38, White, Male,greater than 50K,greater than 50K
39005,30, White, Male,less than or equal to 50K,less than or equal to 50K
20755,19, White, Female,less than or equal to 50K,less than or equal to 50K
29430,54, White, Male,greater than 50K,less than or equal to 50K
17331,39, White, Male,greater than 50K,less than or equal to 50K
12930,51, White, Male,less than or equal to 50K,less than or equal to 50K
25614,59, White, Male,less than or equal to 50K,less than or equal to 50K
17851,31, White, Male,less than or equal to 50K,less than or equal to 50K
20732,41, White, Male,less than or equal to 50K,less than or equal to 50K
33154,18, White, Female,less than or equal to 50K,less than or equal to 50K
5615,44, White, Female,less than or equal to 50K,less than or equal to 50K
17731,26, White, Male,less than or equal to 50K,less than or equal to 50K
6665,39, White, Male,greater than 50K,less than or equal to 50K
15187,43, White, Male,greater than 50K,greater than 50K
34188,25, White, Male,less than or equal to 50K,less than or equal to 50K
33520,59, White, Male,less than or equal to 50K,less than or equal to 50K
28085,32, White, Male,greater than 50K,less than or equal to 50K
48188,22, White, Male,less than or equal to 50K,less than or equal to 50K
19781,51, Black, Female,less than or equal to 50K,less than or equal to 50K
38005,72, Black, Female,less than or equal to 50K,less than or equal to 50K
5517,35, White, Male,less than or equal to 50K,less than or equal to 50K
28294,65, White, Male,greater than 50K,greater than 50K
48666,20, White, Female,less than or equal to 50K,less than or equal to 50K
40337,29, White, Male,less than or equal to 50K,less than or equal to 50K
5874,59, White, Male,less than or equal to 50K,greater than 50K
16127,43, White, Male,less than or equal to 50K,less than or equal to 50K
4907,37, White, Female,less than or equal to 50K,less than or equal to 50K
28804,20, White, Male,less than or equal to 50K,less than or equal to 50K
9828,64, White, Male,greater than 50K,greater than 50K
16723,21, White, Female,less than or equal to 50K,less than or equal to 50K
31344,45, White, Male,less than or equal to 50K,less than or equal to 50K
39144,19, Black, Male,less than or equal to 50K,less than or equal to 50K
40392,35, White, Female,greater than 50K,less than or equal to 50K
639,52, White, Male,greater than 50K,greater than 50K
9613,55, White, Male,greater than 50K,greater than 50K
44661,51, White, Female,less than or equal to 50K,less than or equal to 50K
8470,41, White, Male,less than or equal to 50K,less than or equal to 50K
30868,35, White, Female,less than or equal to 50K,less than or equal to 50K
22672,50, White, Male,less than or equal to 50K,less than or equal to 50K
2935,50, White, Male,less than or equal to 50K,less than or equal to 50K
31972,43, White, Male,greater than 50K,greater than 50K
2806,47, White, Male,less than or equal to 50K,less than or equal to 50K
1607,47, White, Male,less than or equal to 50K,less than or equal to 50K
46222,20, White, Male,less than or equal to 50K,less than or equal to 50K
1737,21, White, Female,less than or equal to 50K,less than or equal to 50K
2058,19, White, Male,less than or equal to 50K,less than or equal to 50K
45658,47, White, Male,greater than 50K,greater than 50K
41446,55, White, Male,less than or equal to 50K,less than or equal to 50K
12052,70, White, Male,less than or equal to 50K,less than or equal to 50K
41247,51, White, Male,less than or equal to 50K,greater than 50K
18001,36, White, Male,greater than 50K,greater than 50K
8187,68, White, Female,less than or equal to 50K,less than or equal to 50K
5603,23, Asian-Pac-Islander, Male,less than or equal to 50K,less than or equal to 50K
37031,20, Black, Male,less than or equal to 50K,less than or equal to 50K
22935,37, White, Male,less than or equal to 50K,less than or equal to 50K
12732,50, Asian-Pac-Islander, Male,greater than 50K,greater than 50K
39380,34, White, Female,less than or equal to 50K,less than or equal to 50K
777,34, White, Male,less than or equal to 50K,greater than 50K
13737,28, White, Male,less than or equal to 50K,less than or equal to 50K
23532,24, White, Male,less than or equal to 50K,less than or equal to 50K
20355,37, White, Male,greater than 50K,less than or equal to 50K
44333,30, Black, Male,less than or equal to 50K,less than or equal to 50K
22352,26, White, Male,less than or equal to 50K,less than or equal to 50K
45220,57, White, Female,less than or equal to 50K,less than or equal to 50K
28080,21, White, Female,less than or equal to 50K,less than or equal to 50K
41265,50, White, Male,greater than 50K,less than or equal to 50K
23691,41, White, Male,less than or equal to 50K,less than or equal to 50K
9444,50, White, Male,less than or equal to 50K,less than or equal to 50K
15716,46, White, Female,less than or equal to 50K,less than or equal to 50K
5160,42, White, Female,greater than 50K,less than or equal to 50K
3463,17, White, Male,less than or equal to 50K,less than or equal to 50K
27661,32, Asian-Pac-Islander, Female,less than or equal to 50K,less than or equal to 50K
5261,27, White, Male,less than or equal to 50K,less than or equal to 50K
8685,33, White, Female,less than or equal to 50K,less than or equal to 50K
37200,20, White, Female,less than or equal to 50K,less than or equal to 50K
38102,26, White, Male,less than or equal to 50K,less than or equal to 50K
29056,46, White, Male,greater than 50K,greater than 50K
7486,24, White, Female,less than or equal to 50K,less than or equal to 50K
16852,42, White, Female,less than or equal to 50K,less than or equal to 50K
34504,44, White, Female,less than or equal to 50K,less than or equal to 50K
13451,40, White, Male,greater than 50K,greater than 50K
29345,32, White, Male,less than or equal to 50K,less than or equal to 50K
48603,17, White, Male,less than or equal to 50K,less than or equal to 50K
30392,19, White, Male,less than or equal to 50K,less than or equal to 50K
47981,41, Black, Male,less than or equal to 50K,less than or equal to 50K
35964,36, White, Female,less than or equal to 50K,less than or equal to 50K
14184,37, White, Male,greater than 50K,less than or equal to 50K
9142,70, White, Male,greater than 50K,less than or equal to 50K
15792,34, White, Male,less than or equal to 50K,less than or equal to 50K
7857,30, White, Female,less than or equal to 50K,less than or equal to 50K
37809,52, White, Male,greater than 50K,greater than 50K
17431,21, White, Male,less than or equal to 50K,less than or equal to 50K
35474,55, White, Male,less than or equal to 50K,less than or equal to 50K
9120,29, White, Male,less than or equal to 50K,less than or equal to 50K
13924,38, White, Male,greater than 50K,greater than 50K
10393,47, White, Male,greater than 50K,less than or equal to 50K
38093,34, White, Female,less than or equal to 50K,less than or equal to 50K
37628,28, Amer-Indian-Eskimo, Female,less than or equal to 50K,less than or equal to 50K
18212,20, White, Female,less than or equal to 50K,less than or equal to 50K
26934,24, White, Male,greater than 50K,greater than 50K
33294,32, White, Male,less than or equal to 50K,less than or equal to 50K
46692,28, White, Male,less than or equal to 50K,less than or equal to 50K
36495,50, Black, Male,less than or equal to 50K,less than or equal to 50K
26694,22, White, Female,less than or equal to 50K,less than or equal to 50K
34511,43, Asian-Pac-Islander, Male,greater than 50K,greater than 50K
41646,56, White, Male,less than or equal to 50K,less than or equal to 50K
30440,46, White, Male,less than or equal to 50K,less than or equal to 50K
18908,55, White, Female,less than or equal to 50K,less than or equal to 50K
37437,22, White, Female,less than or equal to 50K,less than or equal to 50K
20699,34, White, Male,greater than 50K,less than or equal to 50K
25316,40, White, Male,greater than 50K,less than or equal to 50K
3306,27, White, Male,less than or equal to 50K,less than or equal to 50K
39761,30, White, Male,less than or equal to 50K,less than or equal to 50K
13635,38, White, Male,less than or equal to 50K,less than or equal to 50K
125,47, White, Female,greater than 50K,less than or equal to 50K
36473,27, White, Female,less than or equal to 50K,less than or equal to 50K
10338,62, Black, Female,less than or equal to 50K,less than or equal to 50K
47740,44, White, Male,less than or equal to 50K,less than or equal to 50K
25687,70, White, Male,less than or equal to 50K,less than or equal to 50K
36022,54, White, Male,less than or equal to 50K,less than or equal to 50K
48540,35, White, Male,greater than 50K,less than or equal to 50K
46871,41, White, Female,less than or equal to 50K,less than or equal to 50K
30768,53, White, Male,greater than 50K,greater than 50K
34769,45, White, Male,less than or equal to 50K,less than or equal to 50K
24509,37, White, Male,less than or equal to 50K,less than or equal to 50K
29315,23, White, Female,less than or equal to 50K,less than or equal to 50K
1093,34, White, Male,less than or equal to 50K,less than or equal to 50K
31737,52, White, Male,less than or equal to 50K,less than or equal to 50K
5366,25, White, Male,less than or equal to 50K,less than or equal to 50K
8573,45, White, Male,greater than 50K,greater than 50K
43832,26, White, Male,less than or equal to 50K,less than or equal to 50K
38290,35, White, Female,less than or equal to 50K,less than or equal to 50K
16566,23, White, Male,less than or equal to 50K,less than or equal to 50K
40505,66, White, Male,less than or equal to 50K,less than or equal to 50K
3109,18, White, Female,less than or equal to 50K,less than or equal to 50K
1487,25, White, Female,less than or equal to 50K,less than or equal to 50K
16950,55, White, Female,less than or equal to 50K,less than or equal to 50K
20467,58, White, Male,greater than 50K,less than or equal to 50K
39880,58, White, Male,greater than 50K,less than or equal to 50K
9010,22, White, Female,less than or equal to 50K,less than or equal to 50K
19434,67, White, Male,greater than 50K,less than or equal to 50K
3294,43, White, Female,less than or equal to 50K,less than or equal to 50K
38883,34, White, Male,greater than 50K,greater than 50K
25735,30, White, Male,less than or equal to 50K,less than or equal to 50K
32095,27, White, Female,less than or equal to 50K,less than or equal to 50K
10707,34, White, Male,less than or equal to 50K,less than or equal to 50K
36034,36, White, Male,less than or equal to 50K,less than or equal to 50K
10533,38, White, Male,greater than 50K,greater than 50K
9362,27, White, Male,less than or equal to 50K,less than or equal to 50K
27604,46, White, Male,less than or equal to 50K,less than or equal to 50K
35146,51, White, Male,greater than 50K,greater than 50K
19907,23, White, Male,less than or equal to 50K,less than or equal to 50K
26955,33, Black, Male,less than or equal to 50K,less than or equal to 50K
3242,29, White, Male,less than or equal to 50K,less than or equal to 50K
33758,22, White, Male,less than or equal to 50K,less than or equal to 50K
6200,37, White, Male,greater than 50K,greater than 50K
41306,26, White, Female,less than or equal to 50K,less than or equal to 50K
34523,42, White, Male,less than or equal to 50K,less than or equal to 50K
19141,59, White, Female,less than or equal to 50K,less than or equal to 50K
29785,28, White, Female,less than or equal to 50K,less than or equal to 50K
12363,37, White, Male,greater than 50K,less than or equal to 50K
28855,21, White, Female,less than or equal to 50K,less than or equal to 50K
19239,20, White, Male,less than or equal to 50K,less than or equal to 50K
48783,19, White, Female,less than or equal to 50K,less than or equal to 50K
23362,20, White, Male,less than or equal to 50K,less than or equal to 50K
26269,43, White, Male,greater than 50K,less than or equal to 50K
27146,27, White, Female,less than or equal to 50K,less than or equal to 50K
31224,50, White, Female,less than or equal to 50K,less than or equal to 50K
21826,51, White, Male,greater than 50K,less than or equal to 50K
12853,37, White, Male,less than or equal to 50K,less than or equal to 50K
18886,54, White, Male,less than or equal to 50K,less than or equal to 50K
44284,35, White, Male,less than or equal to 50K,less than or equal to 50K
38652,40, White, Male,greater than 50K,less than or equal to 50K
8211,73, White, Male,less than or equal to 50K,less than or equal to 50K
16657,34, White, Male,greater than 50K,greater than 50K
39723,47, Other, Male,less than or equal to 50K,less than or equal to 50K
41822,38, White, Male,less than or equal to 50K,greater than 50K
22257,50, White, Male,greater than 50K,greater than 50K
14635,27, White, Male,less than or equal to 50K,less than or equal to 50K
8592,37, White, Female,less than or equal to 50K,less than or equal to 50K
11380,24, White, Female,less than or equal to 50K,less than or equal to 50K
27891,50, White, Male,less than or equal to 50K,less than or equal to 50K
39983,18, White, Male,less than or equal to 50K,less than or equal to 50K
12401,26, White, Male,less than or equal to 50K,less than or equal to 50K
20413,44, White, Female,less than or equal to 50K,less than or equal to 50K
544,27, White, Male,less than or equal to 50K,less than or equal to 50K
27678,52, White, Male,greater than 50K,greater than 50K
46082,28, White, Male,less than or equal to 50K,less than or equal to 50K
10147,43, White, Male,less than or equal to 50K,less than or equal to 50K
3456,22, White, Female,less than or equal to 50K,less than or equal to 50K
37190,28, White, Male,less than or equal to 50K,less than or equal to 50K
37281,35, White, Male,less than or equal to 50K,less than or equal to 50K
9455,23, White, Male,less than or equal to 50K,less than or equal to 50K
16722,24, White, Female,less than or equal to 50K,less than or equal to 50K
33618,32, White, Male,greater than 50K,less than or equal to 50K
9069,34, Black, Female,less than or equal to 50K,less than or equal to 50K
25747,23, White, Male,less than or equal to 50K,less than or equal to 50K
7273,27, White, Female,less than or equal to 50K,less than or equal to 50K
41909,28, White, Male,less than or equal to 50K,less than or equal to 50K
30162,54, White, Male,less than or equal to 50K,less than or equal to 50K
43990,52, White, Male,less than or equal to 50K,less than or equal to 50K
3795,53, White, Male,greater than 50K,less than or equal to 50K
10297,37, White, Female,less than or equal to 50K,less than or equal to 50K
42458,17, White, Male,less than or equal to 50K,less than or equal to 50K
10023,49, White, Male,less than or equal to 50K,less than or equal to 50K
39751,41, White, Male,less than or equal to 50K,less than or equal to 50K
33460,90, White, Male,greater than 50K,less than or equal to 50K
15627,62, White, Male,greater than 50K,less than or equal to 50K
21271,50, White, Male,greater than 50K,less than or equal to 50K
1878,23, White, Male,less than or equal to 50K,less than or equal to 50K
6268,21, White, Male,less than or equal to 50K,less than or equal to 50K
9493,52, White, Male,greater than 50K,less than or equal to 50K
9929,22, White, Female,less than or equal to 50K,less than or equal to 50K
41886,29, White, Male,greater than 50K,greater than 50K
24624,40, White, Female,less than or equal to 50K,less than or equal to 50K
47255,24, White, Male,less than or equal to 50K,less than or equal to 50K
42314,20, White, Female,less than or equal to 50K,less than or equal to 50K
8672,61, White, Female,less than or equal to 50K,less than or equal to 50K
18182,49, White, Female,less than or equal to 50K,less than or equal to 50K
42084,59, Black, Male,greater than 50K,less than or equal to 50K
7019,47, White, Male,less than or equal to 50K,greater than 50K
30808,29, White, Female,less than or equal to 50K,less than or equal to 50K
40357,39, White, Male,greater than 50K,less than or equal to 50K
14143,28, White, Male,greater than 50K,less than or equal to 50K
48369,57, White, Male,greater than 50K,greater than 50K
38563,67, Black, Female,less than or equal to 50K,less than or equal to 50K
46355,40, White, Female,less than or equal to 50K,less than or equal to 50K
2978,29, White, Male,less than or equal to 50K,less than or equal to 50K
44823,30, White, Male,greater than 50K,less than or equal to 50K
17464,70, White, Male,less than or equal to 50K,less than or equal to 50K
14666,21, White, Female,less than or equal to 50K,less than or equal to 50K
48619,52, White, Male,less than or equal to 50K,less than or equal to 50K
22253,17, White, Male,less than or equal to 50K,less than or equal to 50K
42339,26, White, Male,less than or equal to 50K,less than or equal to 50K
13315,26, Other, Female,less than or equal to 50K,less than or equal to 50K
13958,19, White, Female,less than or equal to 50K,less than or equal to 50K
5112,39, White, Male,less than or equal to 50K,less than or equal to 50K
46256,34, Amer-Indian-Eskimo, Male,less than or equal to 50K,less than or equal to 50K
